id,services_real_0,services_real_0,services_real_0,services_img_0,services_img_0,services_img_0,services_real_1,services_real_1,services_real_1,services_img_1,services_img_1,services_img_1
0.0,0.5655819693631727,-0.17479518863538035,0.8510326078765668,0.8164896810458167,-0.30328044993461456,0.3164115385605348,0.4268538782909692,0.13667032432241832,-0.24725444717849887,0.8777147534303471,0.37409377381455683,-0.3488737899702009
1.0,0.35956791820797035,0.44431488673021385,-0.26333430627714227,0.9216505317733493,0.2561350655135041,-0.44751554270647625,0.37238400157662765,0.5510939146148551,0.6792269169423614,0.9011429764813624,0.06443893005042524,-0.2195880747713342
2.0,0.4364627010959403,-0.48537533610630396,-0.2914385440180976,0.8725481754070195,0.653971081688822,-0.000852264490511203,0.4603262372746072,-0.03806818621027745,0.19247296856528615,0.8442848208932021,-0.0017828799203503248,0.3946233160961089
3.0,0.4845310155689971,0.45107142234334513,-0.1869904912402567,0.8389455531106724,0.2121751742413445,-0.5982535627136153,0.5236773508156936,-0.4089549383214008,0.7197981167804237,0.776105652645439,-0.038358304924490425,0.0057470113591008565
4.0,0.33221207917553863,0.9113980533667163,0.9132841970586066,0.9370289917635194,0.40913723047077155,-0.37160737576469044,0.24624202751029775,0.7395699859842239,-0.036566665631017056,0.9503856556236667,0.07782321264073488,-0.5506999804372242
5.0,0.21935795619117154,0.9166788791132296,0.27336394589191093,0.9499102566347514,0.08746000961511868,-0.6035683871098471,0.25010052111194614,0.34710502365309814,0.2803529289091243,0.9477812135683901,0.27328932335998823,-0.5047462341765678
6.0,0.2955044209529571,-0.19658834162621885,0.09015354760713278,0.9248320543673973,0.3893684816008476,0.8522554333306159,0.2177639984245534,-0.24633732896539612,0.016351146415627585,0.928742674408104,0.4100024021739843,0.30510952769774813
7.0,0.28506126905155893,-0.07202327844283118,-0.32562743504033387,0.9375653248786335,-0.1457705295955758,0.14657057571762,0.2012675898543565,-0.34161582365128307,0.10539203588831522,0.9416457711033572,0.3941446896204248,-0.09945325254393496
8.0,0.69515728973074,0.2911340638633206,0.15433315381777893,0.6982522232809605,0.05255097824794147,0.2632557167756649,0.6233072518801999,-0.6413635061937428,0.27590289764763404,0.6892349230891384,0.0034276697210445795,-0.24606072865825865
9.0,0.7554743428475356,-0.9468800900703335,0.7961349185205236,0.6395447458311162,-0.14408458884788608,-0.3450829710696355,0.672995663695674,0.3330335827642935,0.17331122642729943,0.6844202576825714,0.06456666651764677,-0.14983965816124234
10.0,0.5997712674381072,0.19259709113245332,0.7320452413567438,0.7925016146603887,0.23281636638042597,0.28875495669657736,0.5555892139162316,-0.14202886948591392,-0.37429248073169646,0.8180307575109866,0.041411239757981,-0.11963280924648949
11.0,0.5745429466912364,-0.2719078809583305,-0.8795907153627152,0.8066880613391211,0.20423981120791007,-0.29143440102927587,0.4434412385391834,0.19832763204583076,0.3846766776305026,0.8504430948715462,0.0870583016309485,0.4322938383549497
12.0,0.4878151711445627,-0.21709714923502504,-0.4506696872808681,0.8569657694155156,0.06812153262719628,-0.11253926049261137,0.4436623050327654,0.4263025372310615,0.6516599216849657,0.8749385407568305,0.3103421687458381,0.16108312723515142
13.0,0.6044095239128957,0.0629184217356138,0.2073829604484937,0.7904384417783236,-0.14812762456116332,0.04507523378241876,0.6139105759154213,-0.39431915614830665,0.6905581007024755,0.7842146114998192,-0.2998952679458805,0.24374275946835788
14.0,0.5109399626323657,0.06201504642831698,0.7137905264198701,0.838647610509298,0.4276805775335834,0.41781729505140797,0.47294810847512514,-0.46499970348309355,-0.344284340009825,0.8605058633157274,0.06489247932600026,-0.024642009271804766
15.0,0.2196124855470773,0.34037075857672194,-0.2918057348851059,0.920180059444952,-0.3993220390211638,0.590309263316864,0.1777725159094589,-0.2980040016072912,-0.29138736441571367,0.9027665101747188,0.12041228321478795,-0.20515517175357176
16.0,0.47194368989620544,0.9345014174183004,0.9388844558611414,0.8816286937067975,0.35595940898252354,-0.34423244841578815,0.4878151711445627,-0.21709714923502504,-0.4506696872808681,0.8569657694155156,0.06812153262719628,-0.11253926049261137
17.0,0.2592719577639835,0.1518091031424308,0.28405006783701214,0.9506853139033056,0.3422507308745648,0.5387268734246651,0.18987289338006508,0.02804987248776762,-0.028783282653155485,0.8967679508166482,0.5289616772601975,0.3715511633441988
18.0,0.6558123480388758,-0.8494328839900044,0.9673509871513103,0.754923945944051,-0.5276966700638006,0.25344046176051976,0.6044095239128957,0.0629184217356138,0.2073829604484937,0.7904384417783236,-0.14812762456116332,0.04507523378241876
