id,learning_real_0,learning_real_0,learning_real_0,learning_img_0,learning_img_0,learning_img_0,learning_real_1,learning_real_1,learning_real_1,learning_img_1,learning_img_1,learning_img_1
0.0,-0.31107681444296625,-0.2838123642828685,0.17186847098479419,0.9481617102927183,-0.2014511114876663,-0.8963151705255632,-0.3316606360537726,0.1222094470826009,-0.11327638271927455,0.9217856426412957,-0.36912947490020454,0.24965113100917685
1.0,-0.26515045555721695,0.3804653917265393,-0.1903259748729251,0.9591896011864371,0.2922063845171365,0.22253273389847522,-0.28402251527814354,-0.05761633700169452,0.2790950618420524,0.9470422567946498,0.04053513156286792,-0.5494060363703662
2.0,-0.2603575774164997,-0.15627778219028168,-0.2929894387075512,0.9529434273746327,-0.5049589627169413,0.04903272091990113,-0.25581102293665847,0.3469484216315652,-0.09182776016418184,0.9542156860138197,-0.12945519530814778,-0.43238539086610595
3.0,-0.4694738751876013,0.14244073171154512,0.14348626542265258,0.8532238993628175,-0.8946358465008089,0.47738793820915426,-0.48280353895102024,-0.05449792153451376,0.07074905588534275,0.8351953060600273,-0.22995855594439826,-0.30286136423566723
4.0,-0.22132721098707828,0.27757318738214576,0.29377679751722363,0.963897484439259,-0.07052030043185815,-0.6500840462100457,-0.23319204740947375,-0.10594528982707427,-0.1504450701368666,0.9594067138190235,0.4886610885222025,0.16732410784161705
5.0,-0.31966352040438606,-0.16660983410436087,0.37163991702413945,0.9290675756519723,0.3935768066081282,-0.10181889237548994,-0.34227990268352954,0.25019390561029003,0.1350389192119349,0.9173116834550665,0.2773015742962579,-0.255648504235659
6.0,-0.2140961233917234,0.7829067138280652,-0.04336357333270727,0.9746106397241647,0.12406139900493775,-0.33955221732623825,-0.2699047138310055,-0.099328435706705,-0.23722766882775104,0.9495406187006762,-0.07713889460043452,-0.26491687123219554
7.0,-0.08748859878317332,0.3719350898841938,-0.2800841877889837,0.9867590201818357,0.20187517212478173,-0.842628942368364,-0.09848775880659288,0.09003522930176774,0.12481021119869999,0.9831456024565894,-0.2289931444031323,-0.06244076555316685
8.0,-0.4105825551287709,0.5167642470968702,-0.2157317505198306,0.9073313738565604,-0.6423062408746443,0.34895476675574166,-0.44371155031649884,0.11964527420654578,-0.035546301495012894,0.8681121433454175,-0.38919418750504303,0.29578035197569696
9.0,-0.43515201192127895,-0.10018755462123732,-0.16708780229953424,0.898957903393544,-0.6791796477435089,0.29048250702749057,-0.45371098834681567,0.22438968009603005,0.0253189869782246,0.8783682238284778,-0.7853213725336274,0.3855925254322604
