id,learning_real_0,learning_real_0,learning_real_0,learning_img_0,learning_img_0,learning_img_0,learning_real_1,learning_real_1,learning_real_1,learning_img_1,learning_img_1,learning_img_1
0.0,-0.843393812099699,-0.1514537545565184,-0.41475365941016124,0.5308035920068812,0.3116145683706711,0.8994564824434763,-0.8583844528134463,-0.3463001334044102,0.11538007675042738,0.455919721536157,0.4981063144830379,0.18381215128686185
1.0,-0.8453829179526974,-0.3397906287118245,0.26357089679201995,0.5256915874251225,0.9093753856280591,0.8532870872702842,-0.850217492073756,-0.2158393126012923,-0.10861648500305993,0.49460954950792657,0.6163996082113049,0.6858611957592061
2.0,-0.8254968285373724,-0.33860837307869995,0.2048956906365387,0.5555693316396803,0.07738606698056,-0.3748471700548715,-0.8098024334039485,-0.11510972774940684,-0.0007824929183854884,0.5613645184452507,0.4980555050329536,0.4010547538594631
3.0,-0.9042736119502692,-0.3605013984227061,-0.12232635717727644,0.28649824554366854,0.5075574908404945,0.07299653664517292,-0.8941734373331858,0.28635484280196444,-0.15726209602228725,0.26595590823927306,0.21653070175685077,0.3552789347320293
4.0,-0.8333935683207848,-0.033931578061734996,0.021803035105230018,0.5412959951373346,0.7271103064538977,0.311477288793841,-0.8486660980163296,-0.23299751978865385,0.32607349102382316,0.49611222232250707,0.6538127440812742,0.5014916793378921
5.0,-0.8738650958007842,-0.4621326051856235,0.06710116929575141,0.4117290613795639,0.8104739498093461,0.8466498160403013,-0.8828175711206656,0.0015434981558278271,0.04912707740676723,0.3977574557795881,0.7118109463869959,0.4308937120110812
6.0,-0.7233025268618897,-0.2003217898198719,0.33879573114990824,0.660330800524151,0.9152785278896571,0.7570559017430715,-0.7741982904728726,-0.47496215885377496,0.014138602888233862,0.5827576962431487,-0.09750223724083419,-0.09623012393886345
7.0,-0.7721514923342911,-0.043260110738696234,0.07230347196509629,0.6335453223949384,0.04138318789019424,-0.09331694226161935,-0.7839767240739053,-0.0006971972660099607,0.42724025327864856,0.6116865269005975,0.16151001673940885,-0.4408975956143448
8.0,-0.9003619023199144,-0.06540325588254084,0.0005244846216147514,0.42077835885503206,0.723945735981292,0.04102357351292382,-0.9033933165677949,0.17219765353724514,0.3341422765352271,0.3588567860115834,0.25639683089904663,-0.3753556500251436
9.0,-0.9191128341438543,0.6722598730756947,0.17041998463241542,0.3906662490764432,0.29319062390174566,-0.27105441882051995,-0.9136921888245826,-0.030854274532932574,0.19201237138148572,0.35128857107474326,0.4750708242283738,-0.13922717747605043
10.0,-0.10596982120872567,0.041403026413272696,0.633287760331752,0.9831103599327221,-0.36204046235678633,0.5590897380155567,-0.1359162087433789,0.14334995731628875,0.6235101848605965,0.9710637099484324,0.11088139321476967,0.08457280524729863
11.0,-0.024884637371206324,0.30171198524599463,0.3162414183408676,0.9971003150737953,-0.2637087523207421,-0.0719952427514663,-0.17906980131354225,-0.10111786025803574,0.2528875800968298,0.9531364261057894,-0.4508350191284589,0.5463603099398622
12.0,-0.2857597627576287,0.08766946484482716,0.8553705238513305,0.9271175770336512,0.29089022226261974,0.07384389687214617,-0.3478649224790604,-0.22720209855052118,0.5817797749363466,0.8898689810594538,-0.6540178660742565,0.25089715335490426
13.0,-0.09710422610130168,0.04066842185804451,0.6989186123895915,0.988973237737851,0.3054627097024314,0.251869761621216,-0.1027309492727196,0.40036895678498463,0.6844907857962113,0.9873217500786335,0.18906478587400036,0.3538747964307701
